Molkereistraße  32, 5500 Bischofshofen;47,41102;13,21808;5500;Bischofshofen;Molkereistraße  32
Paß Thurn Strasse 20, 6380 St  Johann in Tirol;47,5195;12,4153;6380;St  Johann in Tirol;Paß Thurn Strasse 20
Innsbruckerstraße 95, 6300 Wörgl;47,47895;12,04765;6300;Wörgl;Innsbruckerstraße 95
An der Leiten 12, 6134 Vomp;47,35146;11,69868;6134;Vomp;An der Leiten 12
Stadlweg 1, 6020 Innsbruck;47,26691;11,42763;6020;Innsbruck;Stadlweg 1
Industriezone 29, 6460 Imst;47,21834;10,73723;6460;Imst;Industriezone 29
Langgasse 121, 6830 Rankweil;47,271;9,61618;6830;Rankweil;Langgasse 121
Köblern 1, 6850 Dornbirn;47,41467;9,7104;6850;Dornbirn;Köblern 1
Bauhofstraße  2, 5280 Braunau am Inn;48,24356;13,04819;5280;Braunau am Inn;Bauhofstraße  2
Braunauer Straße  25, 5230 Mattighofen;48,1132;13,15103;5230;Mattighofen;Braunauer Straße  25
Haid 44, 4782 St  Florian-Schärding;48,42713;13,4485;4782;St  Florian-Schärding;Haid 44
Altenried 8, 4971 Aurolzmünster-Ried;48,22609;13,47488;4971;Aurolzmünster-Ried;Altenried 8
Mitterfeldstraße  1, 4600 Wels;48,18541;14,02536;4600;Wels;Mitterfeldstraße  1
Brandnerstraße  1, 4407 Steyr;48,07769;14,42285;4407;Steyr;Brandnerstraße  1
